symbol,ldcp,open,high,low,close,change,percent_change,volume,market_cap,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
GHGL,39.809999999999995,40.2,40.2,39.8,39.94,0.13,0.3265511178095956,212936.0,39928610629.72,Ghani Glass Limited,GLASS & CERAMICS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
GHNI,1089.1299999999999,1089.0,1100.0,1077.0,1081.58,-7.55,-0.6932138495863671,71486.0,46084873493.52,Ghandhara Industries Limited,AUTO ASSEMBLER,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
GLAXO,315.59000000000003,315.59,317.0,312.0,314.37,-1.22,-0.38657752146772706,87742.0,100116558184.86,GlaxoSmithKline Pakistan Limited,PHARMA,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
HALEON,685.44,687.5,694.9,680.0,683.99,-1.45,-0.21154295051353875,14705.0,80064112926.92,Haleon Pakistan Limited,PHARMA,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
HBL,304.12,304.15,309.22,304.15,307.54,3.42,1.124556096277785,965624.0,451115820310.32,Habib Bank Limited,COMMERCIAL BANKS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
HCAR,220.89000000000001,220.05,222.87,220.0,221.58,0.69,0.3123726741817193,132184.0,31641624000.0,Honda Atlas Cars (Pakistan) Limited,AUTO ASSEMBLER,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
HGFA,13.74,13.8,13.89,13.72,13.8,0.06,0.43668122270742354,16258.0,3912300000.0,HBL Growth Fund,CLOSED-END MUTUAL FUND,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
HINOON,952.25,953.0,959.0,942.0,951.59,-0.66,-0.0693095300603833,4382.0,50418443155.12,Highnoon Laboratories Limited,PHARMA,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
HMB,98.0,98.98,98.98,97.59,98.46,0.46,0.4693877551020408,429125.0,103169487520.79999,Habib Metropolitan Bank Limited,COMMERCIAL BANKS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
HUBC,202.59,203.75,204.0,201.3,201.97,-0.62,-0.3060368231403327,1442727.0,261986274168.0,The Hub Power Company Limited,POWER GENERATION,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
HUMNL,10.110000000000001,10.05,10.41,10.05,10.3,0.19,1.8793273986152321,3809736.0,11680200000.0,Hum Network Limited,TECH & COMMUNICATION,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
IBFL,251.57,251.57,271.98,251.57,251.57,0.0,0.0,1515.0,78114244732.15,Ibrahim Fibres Limited,SYNTHETIC & RAYON,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
ILP,99.47,99.47,99.47,97.01,98.48,-0.99,-0.9952749572735499,297681.0,138040348408.64,Interloop Limited,TEXTILE COMPOSITE,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
INDU,1777.99,1778.0,1802.0,1765.0,1795.54,17.55,0.987069668558316,34248.0,141129444000.0,Indus Motor Company Limited,AUTO ASSEMBLER,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
INIL,169.6,168.5,171.0,166.51,169.42,-0.18,-0.10613207547169812,118397.0,22343424721.199997,International Industries Limited,ENGINEERING,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
ISL,82.75,82.75,84.25,82.75,83.99,1.24,1.498489425981873,289443.0,36535650000.0,International Steels Limited,ENGINEERING,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
JDWS,878.36,899.99,899.99,894.0,878.36,0.0,0.0,28.0,50748707955.96,JDW Sugar Mills Limited,SUGAR & ALLIED,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
JVDC,145.17000000000002,145.45,146.8,145.1,145.9,0.73,0.5028587173658469,312995.0,55567539217.3,Javedan Corporation Limited,PROPERTY,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
KAPCO,26.44,26.3,26.6,26.3,26.53,0.09,0.340393343419062,867058.0,23353118138.84,Kot Addu Power Company Limited,POWER GENERATION,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
KEL,6.05,6.07,6.11,5.93,6.06,0.01,0.1652892561983471,18238386.0,167348077124.69998,K-Electric Limited,POWER GENERATION,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
